Timestamp,Event_Type,Weight_kg,Gas_PPM,Auto_Booking,Order_ID,Notes
2025-05-17 12:55:23,Low Gas Alert,0.0,,true,GAS53357,
2025-05-17 12:55:43,Low Gas Alert,0.0,,true,GAS95432,
2025-05-17 13:01:55,Gas Leak Detected,0.0,2038,true,,
2025-05-17 13:02:06,Gas Leak Resolved,0.0,,true,,
2025-05-17 13:51:22,Low Gas Alert,0.0,,true,GAS31232,
2025-05-17 13:51:37,Gas Leak Detected,0.0,641,true,,
2025-05-17 13:51:44,Gas Leak Resolved,0.0,,true,,
2025-05-17 13:52:11,Low Gas Alert,0.0,,true,GAS80797,
2025-05-17 13:52:55,Gas Leak Detected,2.5,942,true,,
2025-05-17 13:53:01,Gas Leak Resolved,2.5,,true,,
2025-05-17 13:53:12,Low Gas Alert,1.4,,true,GAS82900,
2025-05-17 14:03:21,Low Gas Alert,0.0,,true,GAS88426,
2025-05-17 14:03:48,Low Gas Alert,1.4,,true,GAS89270,
2025-05-17 14:15:56,Gas Leak Resolved,0.2,,true,,
2025-05-17 14:16:35,Low Gas Alert,0.0,,true,GAS90382,
2025-05-17 14:24:10,Low Gas Alert,0.0,,true,GAS33816,
2025-05-17 14:24:19,Gas Leak Detected,0.0,400,true,,
2025-05-17 14:24:25,Gas Leak Resolved,0.0,,true,,
2025-05-17 14:38:28,Low Gas Alert,0.0,,true,GAS46958,
2025-05-17 14:38:42,Gas Leak Detected,0.0,711,true,,
2025-05-17 14:38:49,Gas Leak Resolved,0.0,,true,,
2025-05-17 14:39:23,Low Gas Alert,0.0,,true,GAS30411,
2025-05-17 14:40:46,Low Gas Alert,0.3,,true,GAS46367,
2025-05-17 14:49:15,Gas Leak Detected,1.7,504,true,,
2025-05-17 14:49:22,Gas Leak Resolved,1.7,,true,,
2025-05-17 15:16:27,Gas Leak Detected,1.7,151186724356096,true,,Outlier PPM value
2025-05-17 15:16:35,Gas Leak Resolved,1.7,,true,,
2025-05-17 15:22:45,Gas Leak Detected,1.7,5668,true,,
2025-05-17 15:22:58,Gas Leak Resolved,1.7,,true,,
2025-05-17 15:44:20,Gas Leak Detected,1.7,443,true,,
2025-05-17 15:44:32,Gas Leak Resolved,1.7,,true,,
2025-05-17 16:02:05,Gas Leak Detected,1.7,151186724356096,true,,Outlier PPM value
2025-05-17 16:02:17,Gas Leak Resolved,1.7,,true,,
2025-05-17 16:06:55,Gas Leak Detected,1.7,151186724356096,true,,Outlier PPM value
2025-05-17 16:07:09,Gas Leak Resolved,1.7,,true,,
2025-05-17 16:10:45,Gas Leak Detected,1.7,343,true,,
2025-05-17 16:10:56,Gas Leak Resolved,1.7,,true,,
2025-05-17 16:53:35,Low Gas Alert,0.0,,true,GAS90318,
